Sala_I_CP;Sala I - Casacion Penal;N/A
Sala_II_CP;Sala II - Casacion Penal;N/A
Sala_III_CP;Sala III - Casacion Penal;N/A
Sala_IV_CP;Sala IV - Casacion Penal;N/A
JNEP_Nro.1;Juzgado Nacional de Ejecucion Penal Nro. 1;N/A
JNEP_Nro.2;Juzgado Nacional de Ejecucion Penal Nro. 2;N/A
JNEP_Nro.3;Juzgado Nacional de Ejecucion Penal Nro. 3;N/A
JNEP_Nro.4;Juzgado Nacional de Ejecucion Penal Nro. 4;N/A
JNEP_Nro.5;Juzgado Nacional de Ejecucion Penal Nro. 5;N/A
Sala_I_SS;Sala I - Seguridad Social;N/A
Sala_II_SS;Sala II - Seguridad Social;N/A
Sala_III_SS;Sala III - Seguridad Social;N/A
JFSS_Nro.1_SecNro.1;Juzgado Federal de Primera Instancia de la Seguridad Social Nro. 1;Secretaria Nro. 1
JFSS_Nro.1_SecETF;Juzgado Federal de Primera Instancia de la Seguridad Social Nro. 1;Secretaria de Ejecucion Tributaria y Fiscal
JFSS_Nro.2_SecNro.1;Juzgado Federal de Primera Instancia de la Seguridad Social Nro. 2 ;Secretaria Nro. 1
JFSS_Nro.2_SecETF;Juzgado Federal de Primera Instancia de la Seguridad Social Nro. 2 ;Secretaria de Ejecucion Tributaria y Fiscal
JFSS_Nro.3_SecNro.1;Juzgado Federal de Primera Instancia de la Seguridad Social Nro. 3;Secretaria Nro. 1
JFSS_Nro.3_SecETF;Juzgado Federal de Primera Instancia de la Seguridad Social Nro. 3;Secretaria de Ejecucion Tributaria y Fiscal
JFSS_Nro.4_SecNro.1;Juzgado Federal de Primera Instancia de la Seguridad Social Nro. 4;Secretaria Nro. 1
JFSS_Nro.4_SecETF;Juzgado Federal de Primera Instancia de la Seguridad Social Nro. 4;Secretaria de Ejecucion Tributaria y Fiscal
JFSS_Nro.5_SecNro.1;Juzgado Federal de Primera Instancia de la Seguridad Social Nro. 5;Secretaria Nro. 1
JFSS_Nro.5_SecETF;Juzgado Federal de Primera Instancia de la Seguridad Social Nro. 5;Secretaria de Ejecucion Tributaria y Fiscal
JFSS_Nro.6_SecNro.1;Juzgado Federal de Primera Instancia de la Seguridad Social Nro. 6;Secretaria Nro. 1
JFSS_Nro.6_SecETF;Juzgado Federal de Primera Instancia de la Seguridad Social Nro. 6;Secretaria de Ejecucion Tributaria y Fiscal
JFSS_Nro.7_SecNro.1;Juzgado Federal de Primera Instancia de la Seguridad Social Nro. 7;Secretaria Nro. 1
JFSS_Nro.7_SecETF;Juzgado Federal de Primera Instancia de la Seguridad Social Nro. 7;Secretaria de Ejecucion Tributaria y Fiscal
JFSS_Nro.8_SecNro.1;Juzgado Federal de Primera Instancia de la Seguridad Social Nro. 8;Secretaria Nro. 1
JFSS_Nro.8_SecETF;Juzgado Federal de Primera Instancia de la Seguridad Social Nro. 8;Secretaria de Ejecucion Tributaria y Fiscal
JFSS_Nro.9_SecNro.1;Juzgado Federal de Primera Instancia de la Seguridad Social Nro. 9;Secretaria Nro. 1
JFSS_Nro.9_SecETF;Juzgado Federal de Primera Instancia de la Seguridad Social Nro. 9;Secretaria de Ejecucion Tributaria y Fiscal
JFSS_Nro.10_SecNro.1;Juzgado Federal de Primera Instancia de la Seguridad Social Nro. 10;Secretaria Nro. 1
JFSS_Nro.10_SecETF;Juzgado Federal de Primera Instancia de la Seguridad Social Nro. 10;Secretaria de Ejecucion Tributaria y Fiscal
Sala_A_CO;Sala A - Comercial   ;N/A
Sala_B_CO;Sala B - Comercial   ;N/A
Sala_C_CO;Sala C - Comercial   ;N/A
Sala_D_CO;Sala D - Comercial   ;N/A
Sala_E_CO;Sala E - Comercial   ;N/A
Sala_F_CO;Sala F - Comercial   ;N/A
JCO_Nro.1_SecNro.1;Juzgado Comercial Nro. 1   ;Secretaria Nro. 1   
JCO_Nro.1_SecNro.2;Juzgado Comercial Nro. 1   ;Secretaria Nro. 2   
JCO_Nro.2_SecNro.3;Juzgado Comercial Nro. 2   ;Secretaria Nro. 3   
JCO_Nro.2_SecNro.4;Juzgado Comercial Nro. 2   ;Secretaria Nro. 4   
JCO_Nro.2_SecNro.200;Juzgado Comercial Nro. 2   ;Secretaria Nro. 200   
JCO_Nro.3_SecNro.5;Juzgado Comercial Nro. 3   ;Secretaria Nro. 5   
JCO_Nro.3_SecNro.6;Juzgado Comercial Nro. 3   ;Secretaria Nro. 6   
JCO_Nro.4_SecNro.7;Juzgado Comercial Nro. 4   ;Secretaria Nro. 7   
JCO_Nro.4_SecNro.8;Juzgado Comercial Nro. 4   ;Secretaria Nro. 8   
JCO_Nro.5_SecNro.9;Juzgado Comercial Nro. 5   ;Secretaria Nro. 9   
JCO_Nro.5_SecNro.10;Juzgado Comercial Nro. 5   ;Secretaria Nro. 10   
JCO_Nro.6_SecNro.11;Juzgado Comercial Nro. 6   ;Secretaria Nro. 11   
JCO_Nro.6_SecNro.12;Juzgado Comercial Nro. 6   ;Secretaria Nro. 12   
JCO_Nro.7_SecNro.13;Juzgado Comercial Nro. 7   ;Secretaria Nro. 13   
JCO_Nro.7_SecNro.14;Juzgado Comercial Nro. 7   ;Secretaria Nro. 14   
JCO_Nro.8_SecNro.15;Juzgado Comercial Nro. 8   ;Secretaria Nro. 15   
JCO_Nro.8_SecNro.16;Juzgado Comercial Nro. 8   ;Secretaria Nro. 16   
JCO_Nro.9_SecNro.17;Juzgado Comercial Nro. 9   ;Secretaria Nro. 17   
JCO_Nro.9_SecNro.18;Juzgado Comercial Nro. 9   ;Secretaria Nro. 18   
JCO_Nro.10_SecNro.19;Juzgado Comercial Nro. 10   ;Secretaria Nro. 19   
JCO_Nro.10_SecNro.20;Juzgado Comercial Nro. 10   ;Secretaria Nro. 20   
JCO_Nro.10_SecNro.100;Juzgado Comercial Nro. 10   ;Secretaria Nro. 100   
JCO_Nro.11_SecNro.21;Juzgado Comercial Nro. 11   ;Secretaria Nro. 21   
JCO_Nro.11_SecNro.22;Juzgado Comercial Nro. 11   ;Secretaria Nro. 22   
JCO_Nro.12_SecNro.23;Juzgado Comercial Nro. 12   ;Secretaria Nro. 23   
JCO_Nro.12_SecNro.24;Juzgado Comercial Nro. 12   ;Secretaria Nro. 24    
JCO_Nro.12_SecNro.120;Juzgado Comercial Nro. 12   ;Secretaria Nro. 120   
JCO_Nro.13_SecNro.25;Juzgado Comercial Nro. 13   ;Secretaria Nro. 25   
JCO_Nro.13_SecNro.26;Juzgado Comercial Nro. 13   ;Secretaria Nro. 26   
JCO_Nro.14_SecNro.27;Juzgado Comercial Nro. 14    ;Secretaria Nro. 27   
JCO_Nro.14_SecNro.28;Juzgado Comercial Nro. 14    ;Secretaria Nro. 28   
JCO_Nro.15_SecNro.29;Juzgado Comercial Nro. 15   ;Secretaria Nro. 29   
JCO_Nro.15_SecNro.30;Juzgado Comercial Nro. 15   ;Secretaria Nro. 30   
JCO_Nro.16_SecNro.31;Juzgado Comercial Nro. 16   ;Secretaria Nro. 31   
JCO_Nro.16_SecNro.32;Juzgado Comercial Nro. 16   ;Secretaria Nro. 32   
JCO_Nro.16_SecNro.160;Juzgado Comercial Nro. 16   ;Secretaria Nro. 160   
JCO_Nro.17_SecNro.33;Juzgado Comercial Nro. 17   ;Secretaria Nro. 33   
JCO_Nro.17_SecNro.34;Juzgado Comercial Nro. 17   ;Secretaria Nro. 34   
JCO_Nro.18_SecNro.35;Juzgado Comercial Nro. 18   ;Secretaria Nro. 35   
JCO_Nro.18_SecNro.36;Juzgado Comercial Nro. 18   ;Secretaria Nro. 36   
JCO_Nro.19_SecNro.37;Juzgado Comercial Nro. 19   ;Secretaria Nro. 37   
JCO_Nro.19_SecNro.38;Juzgado Comercial Nro. 19   ;Secretaria Nro. 38   
JCO_Nro.20_SecNro.39;Juzgado Comercial Nro. 20   ;Secretaria Nro. 39   
JCO_Nro.20_SecNro.40;Juzgado Comercial Nro. 20   ;Secretaria Nro. 40   
JCO_Nro.21_SecNro.41;Juzgado Comercial Nro. 21   ;Secretaria Nro. 41   
JCO_Nro.21_SecNro.42;Juzgado Comercial Nro. 21   ;Secretaria Nro. 42   
JCO_Nro.22_SecNro.43;Juzgado Comercial Nro. 22   ;Secretaria Nro. 43   
JCO_Nro.22_SecNro.44;Juzgado Comercial Nro. 22   ;Secretaria Nro. 44   
JCO_Nro.23_SecNro.45;Juzgado Comercial Nro. 23   ;Secretaria Nro. 45   
JCO_Nro.23_SecNro.46;Juzgado Comercial Nro. 23   ;Secretaria Nro. 46   
JCO_Nro.23_SecNro.230;Juzgado Comercial Nro. 23   ;Secretaria Nro. 230   
JCO_Nro.24_SecNro.47;Juzgado Comercial Nro. 24   ;Secretaria Nro. 47   
JCO_Nro.24_SecNro.48;Juzgado Comercial Nro. 24   ;Secretaria Nro. 48   
JCO_Nro.24_SecNro.240;Juzgado Comercial Nro. 24   ;Secretaria Nro. 240   
JCO_Nro.25_SecNro.49;Juzgado Comercial Nro. 25   ;Secretaria Nro. 49   
JCO_Nro.25_SecNro.50;Juzgado Comercial Nro. 25   ;Secretaria Nro. 50    
JCO_Nro.26_SecNro.51;Juzgado Comercial Nro. 26   ;Secretaria Nro. 51   
JCO_Nro.26_SecNro.52;Juzgado Comercial Nro. 26   ;Secretaria Nro. 52 
Sala_I_CNAT;Sala I - Camara del Trabajo   ;N/A
Sala_II_CNAT;Sala II - Camara del Trabajo   ;N/A
